data;ticker;fechamento_b3_rs;fechamento_ajustado_rs;volume_rs
2025-09-23;PETR4;31,90;31,9000;1272874298,00
2025-09-24;PETR4;32,62;32,6200;1182464991,00
2025-09-25;PETR4;32,36;32,3600;959642124,00
2025-09-26;PETR4;32,25;32,2500;902107189,00
2025-09-29;PETR4;31,81;31,8100;1138927894,00
2025-09-30;PETR4;31,46;31,4600;1527819112,00
2025-10-01;PETR4;31,38;31,3800;779671049,00
2025-10-02;PETR4;31,08;31,0800;793570209,00
2025-10-03;PETR4;31,00;31,0000;614314145,00
2025-10-06;PETR4;30,72;30,7200;657103099,00
2025-10-07;PETR4;30,83;30,8300;892392199,00
2025-10-08;PETR4;30,65;30,6500;542695467,00
2025-10-09;PETR4;30,21;30,2100;694273726,00
2025-10-10;PETR4;29,94;29,9400;1504887788,00
2025-10-13;PETR4;30,23;30,2300;418977526,00
2025-10-14;PETR4;30,02;30,0200;848311758,00
2025-10-15;PETR4;29,75;29,7500;1202241993,00
2025-10-16;PETR4;29,45;29,4500;846810190,00
2025-10-17;PETR4;29,73;29,7300;1075104888,00
2025-10-20;PETR4;29,75;29,7500;933642910,00
2025-10-21;PETR4;29,51;29,5100;755936601,00
2025-10-22;PETR4;29,85;29,8500;807697676,00
2025-10-23;PETR4;30,19;30,1900;1217525542,00
2025-10-24;PETR4;29,84;29,8400;731750937,00
2025-10-27;PETR4;30,00;30,0000;741863529,00
2025-10-28;PETR4;29,99;29,9900;760540282,00
2025-10-29;PETR4;30,02;30,0200;746170398,00
2025-10-30;PETR4;29,89;29,8900;678798566,00
2025-10-31;PETR4;29,75;29,7500;878663650,00
2025-11-03;PETR4;30,10;30,1000;1657722039,00
2025-11-04;PETR4;30,25;30,2500;1053903046,00
2025-11-05;PETR4;30,85;30,8500;1240577836,00
2025-11-06;PETR4;31,01;31,0100;1350677519,00
2025-11-07;PETR4;32,18;32,1800;3074416165,00
2025-11-10;PETR4;32,36;32,3600;1326640929,00
2025-11-11;PETR4;33,20;33,2000;2265670056,00
2025-11-12;PETR4;32,35;32,3500;2194424826,00
2025-11-13;PETR4;32,49;32,4900;1257290817,00
2025-11-14;PETR4;32,70;32,7000;898936503,00
2025-11-17;PETR4;32,88;32,8800;2094900126,00
2025-11-18;PETR4;32,99;32,9900;873730624,00
2025-11-19;PETR4;32,82;32,8200;1596428507,00
2025-11-21;PETR4;32,57;32,5700;1328591628,00
2025-11-24;PETR4;32,54;32,5400;1257534550,00
2025-11-25;PETR4;32,28;32,2800;917037308,00
2025-11-26;PETR4;32,23;32,2300;807759523,00
2025-11-27;PETR4;32,40;32,4000;519702687,00
2025-11-28;PETR4;31,79;31,7900;1913290722,00
2025-12-01;PETR4;31,85;31,8500;939199335,00
2025-12-02;PETR4;32,07;32,0700;812501720,00
2025-12-03;PETR4;32,31;32,3100;1184249649,00
2025-12-04;PETR4;32,52;32,5200;1075421865,00
2025-12-05;PETR4;31,37;31,3700;2375238965,00
2025-12-08;PETR4;31,66;31,6600;958960728,00
2025-12-09;PETR4;31,86;31,8600;756316268,00
2025-12-10;PETR4;31,94;31,9400;703638819,00
2025-12-11;PETR4;31,26;31,2600;2048709426,00
2025-12-12;PETR4;31,59;31,5900;1249482237,00
2025-12-15;PETR4;31,70;31,7000;1011776764,00
2025-12-16;PETR4;30,74;30,7400;1627883909,00
2025-12-17;PETR4;31,08;31,0800;1217701294,00
2025-12-18;PETR4;30,90;30,9000;1065664353,00
2025-12-19;PETR4;31,01;31,0100;1418854565,00
2025-12-22;PETR4;31,10;31,1000;1122827287,00
2025-12-23;PETR4;30,31;30,3100;1083686528,00
2025-12-26;PETR4;30,41;30,4100;610464847,00
2025-12-29;PETR4;30,73;30,7300;632053755,00
2025-12-30;PETR4;30,82;30,8200;520806992,00
2025-01-02;ITUB4;30,57;26,9815;783618929,00
2025-01-03;ITUB4;29,82;26,3195;1063490724,00
2025-01-06;ITUB4;31,16;27,5022;960238681,00
2025-01-07;ITUB4;31,50;27,8023;797581329,00
2025-01-08;ITUB4;30,99;27,3522;596777549,00
2025-01-09;ITUB4;31,07;27,4228;314266921,00
2025-01-10;ITUB4;30,64;27,0432;592928861,00
2025-01-13;ITUB4;30,86;27,2374;478262726,00
2025-01-14;ITUB4;30,88;27,2551;623259605,00
2025-01-15;ITUB4;32,22;28,4378;1131763183,00
2025-01-16;ITUB4;32,12;28,3495;701044411,00
2025-01-17;ITUB4;32,35;28,5525;675032325,00
2025-01-20;ITUB4;32,66;28,8261;301712366,00
2025-01-21;ITUB4;32,73;28,8879;459360232,00
2025-01-22;ITUB4;32,61;28,7820;687157853,00
2025-01-23;ITUB4;32,54;28,7202;658177461,00
2025-01-24;ITUB4;32,46;28,6496;283743601,00
2025-01-27;ITUB4;33,24;29,3380;668132483,00
2025-01-28;ITUB4;33,30;29,3910;476786192,00
2025-01-29;ITUB4;33,22;29,3204;401757915,00
2025-01-30;ITUB4;34,03;30,0353;890085022,00
2025-01-31;ITUB4;33,81;29,8411;612594103,00
2025-02-03;ITUB4;33,48;29,5499;759312933,00
2025-02-04;ITUB4;33,60;29,6558;688059819,00
2025-02-05;ITUB4;34,11;30,1059;1365776572,00
2025-02-06;ITUB4;34,17;30,1589;1316729757,00
2025-02-07;ITUB4;33,92;29,9382;1204372773,00
2025-02-10;ITUB4;34,29;30,2648;1293341122,00
2025-02-11;ITUB4;34,65;30,5825;1086876547,00
2025-02-12;ITUB4;33,69;29,7352;1024913431,00
2025-02-13;ITUB4;33,87;29,8941;452382201,00
2025-02-14;ITUB4;34,77;30,6884;1026022092,00
2025-02-17;ITUB4;34,84;30,7502;626267750,00
2025-02-18;ITUB4;33,20;29,3027;1014023577,00
2025-02-19;ITUB4;32,89;29,0291;740231766,00
2025-02-20;ITUB4;32,80;28,9497;519102991,00
2025-02-21;ITUB4;32,70;28,8614;990821708,00
2025-02-24;ITUB4;32,52;28,7026;837505314,00
2025-02-25;ITUB4;32,85;28,9938;862362860,00
